PackageName,KnownBadVersion,ThreatDescription,Source
@sameepsi/sor,1.0.3,ShaiHulud,KOI
@sameepsi/sor2,2.0.2,ShaiHulud,KOI
@seezo/sdr-mcp-server,0.0.5,ShaiHulud,KOI
@seung-ju/next,0.0.2,ShaiHulud,KOI
@seung-ju/openapi-generator,0.0.4,ShaiHulud,KOI
@seung-ju/react-hooks,0.0.2,ShaiHulud,KOI
@seung-ju/react-native-action-sheet,0.2.1,ShaiHulud,KOI
@silgi/better-auth,0.8.1,ShaiHulud,KOI
@silgi/drizzle,0.8.4,ShaiHulud,KOI
@silgi/ecosystem,0.7.6,ShaiHulud,KOI
@silgi/graphql,0.7.15,ShaiHulud,KOI
@silgi/module-builder,0.8.8,ShaiHulud,KOI
@silgi/openapi,0.7.4,ShaiHulud,KOI
@silgi/permission,0.6.8,ShaiHulud,KOI
@silgi/ratelimit,0.2.1,ShaiHulud,KOI
@silgi/scalar,0.6.2,ShaiHulud,KOI
@silgi/yoga,0.7.1,ShaiHulud,KOI
@sme-ui/aoma-vevasound-metadata-lib,0.1.3,ShaiHulud,KOI
@strapbuild/react-native-date-time-picker,2.0.4,ShaiHulud,KOI
@strapbuild/react-native-perspective-image-cropper,0.4.15,ShaiHulud,KOI
@strapbuild/react-native-perspective-image-cropper-2,0.4.7,ShaiHulud,KOI
@strapbuild/react-native-perspective-image-cropper-poojan31,0.4.6,ShaiHulud,KOI
@suraj_h/medium-common,1.0.5,ShaiHulud,KOI
@thedelta/eslint-config,1.0.2,ShaiHulud,KOI
@tiaanduplessis/json,2.0.2,ShaiHulud,KOI
@tiaanduplessis/json,2.0.3,ShaiHulud,KOI
@tiaanduplessis/react-progressbar,1.0.1,ShaiHulud,KOI
@tiaanduplessis/react-progressbar,1.0.2,ShaiHulud,KOI
@trackstar/angular-trackstar-link,1.0.2,ShaiHulud,KOI
@trackstar/react-trackstar-link,2.0.21,ShaiHulud,KOI
@trackstar/react-trackstar-link-upgrade,1.1.10,ShaiHulud,KOI
